-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -1.133121e+00  1.748963e+00   0.000000e+00   1.219181e+02   -2.260221e+02  1.012219e+02   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -1.632085e+01  2.436967e+00   0.000000e+00   1.036974e+02   -1.925588e+02  7.010358e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
2         -1.630799e+01  2.433161e+00   0.000000e+00   1.037442e+02   -1.926290e+02  7.014367e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
3         -1.630379e+01  2.431431e+00   0.000000e+00   1.037535e+02   -1.926407e+02  7.015197e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
4         -1.630208e+01  2.430750e+00   0.000000e+00   1.037573e+02   -1.926455e+02  7.015541e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
5         -1.630137e+01  2.430471e+00   0.000000e+00   1.037589e+02   -1.926476e+02  7.015685e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
6         -1.630107e+01  2.430356e+00   0.000000e+00   1.037596e+02   -1.926484e+02  7.015746e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
7         -1.630094e+01  2.430307e+00   0.000000e+00   1.037598e+02   -1.926488e+02  7.015771e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
8         -1.630089e+01  2.430287e+00   0.000000e+00   1.037599e+02   -1.926489e+02  7.015782e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
9         -1.630087e+01  2.430278e+00   0.000000e+00   1.037600e+02   -1.926490e+02  7.015787e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
10        -1.630086e+01  2.430275e+00   0.000000e+00   1.037600e+02   -1.926490e+02  7.015788e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
11        -1.630086e+01  2.430273e+00   0.000000e+00   1.037600e+02   -1.926490e+02  7.015789e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
12        -1.630086e+01  2.430273e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
13        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
14        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
15        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
16        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
17        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
18        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
19        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
20        -1.630085e+01  2.430272e+00   0.000000e+00   1.037600e+02   -1.926491e+02  7.015790e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
-------------------------------------------------------------------------------------------------------------------------------------------------------------

