
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.000000e+01 * a0, G = 1.077890e+04, G * par = 2.155779e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.833333e+00
     Dipolar cutoff Rcut = 3.781396e+00, Lcut = 1.387992e+02

QF = 1: h2 = 1.398480e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 6.436393e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.168738e+00, DY = 5.908431e-02, DZ = 5.908431e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.745478e-03

Initial state: Gaussian
               SX = 1.387992e+01, SY = 3.781396e-01, SZ = 3.781396e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-10, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.389022e+01   1.387992e+01   3.781396e-01   3.781396e-01  
1         1.404326e+01   1.403323e+01   3.752523e-01   3.752523e-01  
2         1.398636e+01   1.397626e+01   3.759003e-01   3.759003e-01  
3         1.396652e+01   1.395638e+01   3.761424e-01   3.761424e-01  
4         1.395891e+01   1.394877e+01   3.762350e-01   3.762350e-01  
5         1.395584e+01   1.394570e+01   3.762722e-01   3.762722e-01  
6         1.395458e+01   1.394443e+01   3.762876e-01   3.762876e-01  
7         1.395405e+01   1.394390e+01   3.762940e-01   3.762940e-01  
8         1.395383e+01   1.394368e+01   3.762967e-01   3.762967e-01  
9         1.395374e+01   1.394359e+01   3.762978e-01   3.762978e-01  
10        1.395370e+01   1.394355e+01   3.762983e-01   3.762983e-01  
11        1.395368e+01   1.394353e+01   3.762985e-01   3.762985e-01  
12        1.395367e+01   1.394352e+01   3.762985e-01   3.762985e-01  
13        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
14        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
15        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
16        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
17        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
18        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
19        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
20        1.395367e+01   1.394352e+01   3.762986e-01   3.762986e-01  
-------------------------------------------------------------------

