
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.000000e+01 * a0, G = 1.077890e+04, G * par = 2.155779e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.835000e+00
     Dipolar cutoff Rcut = 3.800000e+00, Lcut = 1.300000e+02

QF = 1: h2 = 1.400660e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 6.446430e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.031250e+00, DY = 5.937500e-02, DZ = 5.937500e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 15000)
                     DT = 1.762695e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.374948e+01   1.373863e+01   3.861760e-01   3.861760e-01  
1         1.377872e+01   1.376408e+01   4.490151e-01   4.490151e-01  
2         1.376669e+01   1.374602e+01   5.332891e-01   5.332891e-01  
3         1.376458e+01   1.373756e+01   6.095200e-01   6.095200e-01  
4         1.384753e+01   1.379666e+01   8.385939e-01   8.385939e-01  
5         1.383294e+01   1.374583e+01   1.095912e+00   1.096037e+00  
6         1.392752e+01   1.375878e+01   1.530377e+00   1.526395e+00  
7         1.399378e+01   1.377398e+01   1.746026e+00   1.747776e+00  
8         1.400716e+01   1.377889e+01   1.781373e+00   1.780265e+00  
9         1.403228e+01   1.377333e+01   1.900639e+00   1.894140e+00  
10        1.399943e+01   1.373468e+01   1.916257e+00   1.915930e+00  
11        1.406029e+01   1.377728e+01   1.987470e+00   1.981993e+00  
12        1.405511e+01   1.377934e+01   1.960059e+00   1.958115e+00  
13        1.404955e+01   1.376732e+01   1.982336e+00   1.980202e+00  
14        1.405452e+01   1.377096e+01   1.986426e+00   1.986048e+00  
15        1.409039e+01   1.380794e+01   1.982050e+00   1.987806e+00  
16        1.404820e+01   1.375965e+01   2.000632e+00   2.005386e+00  
17        1.405439e+01   1.377084e+01   1.983386e+00   1.988931e+00  
18        1.405743e+01   1.376399e+01   2.020859e+00   2.019935e+00  
19        1.403586e+01   1.374900e+01   1.995972e+00   1.996629e+00  
20        1.407603e+01   1.378462e+01   2.018385e+00   2.011234e+00  
21        1.407040e+01   1.378400e+01   1.997951e+00   1.996447e+00  
22        1.407290e+01   1.378668e+01   1.995373e+00   1.998130e+00  
23        1.408472e+01   1.379837e+01   1.996343e+00   1.999752e+00  
24        1.405539e+01   1.377063e+01   1.987685e+00   1.993245e+00  
25        1.407082e+01   1.378087e+01   2.010036e+00   2.008812e+00  
26        1.406164e+01   1.377694e+01   1.989660e+00   1.991677e+00  
27        1.409187e+01   1.380298e+01   2.005636e+00   2.009003e+00  
28        1.406620e+01   1.378138e+01   1.987068e+00   1.995737e+00  
29        1.409065e+01   1.380320e+01   1.997712e+00   2.006793e+00  
30        1.408968e+01   1.380439e+01   1.991925e+00   1.997493e+00  
31        1.407516e+01   1.379019e+01   1.986604e+00   1.998602e+00  
32        1.406867e+01   1.378100e+01   1.994929e+00   2.007921e+00  
33        1.407576e+01   1.378914e+01   1.992994e+00   2.003678e+00  
34        1.407910e+01   1.378700e+01   2.014273e+00   2.020491e+00  
35        1.405230e+01   1.376272e+01   2.005154e+00   2.008487e+00  
36        1.407425e+01   1.378220e+01   2.017412e+00   2.016297e+00  
37        1.408516e+01   1.379663e+01   2.004117e+00   2.007036e+00  
